ch1,ch2,ch3,ch4,ch5,ch6,ch7
1.313653744894712538e+00,1.205435538939897855e+00,1.206080461273248305e+00,1.201247716098751583e+00,1.205291891728865084e+00,1.205615544988577925e+00,1.205001617074205500e+00
1.275080594430040737e+00,1.203666472872075177e+00,1.204533124510422271e+00,1.201536202613854742e+00,1.206094766389699702e+00,1.206164503832400259e+00,1.205399776148769364e+00
1.313890971409198194e+00,1.205473089870582770e+00,1.205283547077601769e+00,1.201609516335668149e+00,1.205014730097619280e+00,1.205346131962076628e+00,1.205386663125355584e+00
1.276571902820098803e+00,1.206293249880462826e+00,1.206366563602276232e+00,1.195798658823807203e+00,1.204692268930944055e+00,1.205099368703290041e+00,1.205588722895231557e+00
1.312321580925176256e+00,1.205359244985490408e+00,1.205725813594557438e+00,1.194133900896775735e+00,1.205539251034170478e+00,1.205505872429117220e+00,1.205759788246129505e+00
1.281173977991816759e+00,1.204587364743633815e+00,1.204505110324038286e+00,1.196240925340762873e+00,1.205905223596718701e+00,1.205877805456853524e+00,1.205498719870891522e+00
1.308886564837284716e+00,1.205115461959297862e+00,1.205364013357640873e+00,1.195408248353987846e+00,1.198718094672929668e+00,1.205682898245203249e+00,1.205260301263368250e+00
1.282577071497091215e+00,1.206090594064068044e+00,1.206299210345650907e+00,1.196074628362015391e+00,1.204924727073279245e+00,1.204646969395514633e+00,1.202550077742347456e+00
1.307563937612049365e+00,1.205209041262750747e+00,1.205568457313592079e+00,1.206071520575466183e+00,1.197801971173521496e+00,1.205580974290487051e+00,1.206038141970412925e+00
1.283206496620952652e+00,1.204441333346525811e+00,1.204654718000259139e+00,1.205577994057893010e+00,1.205809856153709392e+00,1.206196690344415900e+00,1.205367589636753722e+00
1.306653774577829275e+00,1.205539251034170478e+00,1.205446863823755210e+00,1.200207614923431310e+00,1.205853367549582389e+00,1.205669785221789470e+00,1.205027247074514252e+00
1.283742342441361206e+00,1.206365371509238615e+00,1.206058407552052403e+00,1.198449873739465987e+00,1.204877043351774590e+00,1.205046916609634922e+00,1.205437327079454279e+00
1.305484331307927626e+00,1.206059599645090019e+00,1.205421829869965267e+00,1.205737734524933602e+00,1.204965258236558201e+00,1.205711508478106042e+00,1.206193710111821860e+00
1.285335574786135471e+00,1.204347754043072927e+00,1.203653955895180205e+00,1.204916978468534738e+00,1.206206823135235640e+00,1.206141854064685548e+00,1.199438714914168758e+00
1.303353465003188161e+00,1.205356264752896367e+00,1.205325866380437150e+00,1.204736972419854668e+00,1.205535078708538821e+00,1.198221587922762454e+00,1.205059433586529893e+00
1.287197624110892225e+00,1.206540609185768220e+00,1.205513024987342918e+00,1.204365039392118364e+00,1.204942012422324682e+00,1.205048704749191346e+00,1.205689454756910139e+00
