ch1,ch2,ch3,ch4,ch5,ch6,ch7
1.680941782109945937e-01,2.181913598559903633e-03,1.445215060911841931e-02,1.109561912189869215e-01,2.468142149203567115e-02,9.723585016359947986e-03,1.851846410817148403e-02
2.429848006945609651e-01,2.272448623635869858e-02,3.579448677866636785e-03,5.015706211447734653e-02,5.547491435728924003e-02,1.095620921725526387e-02,4.961421099439466964e-02
3.652770954700812478e-01,2.286949617335420903e-02,6.017607115993151012e-02,4.038428339209931828e-02,6.502540278971125076e-03,2.120646093763411955e-02,5.720153256322246804e-03
4.902649510222567564e-02,9.827231662387303501e-03,2.260993778262943010e-03,1.265789631664193671e-02,1.107302498519269207e-02,5.901178427677677973e-03,8.193956678735458965e-03
1.907654036003834097e-01,6.855343719609718889e-03,5.018790226259106646e-02,3.407811122310699936e-02,2.728256850011412382e-02,2.251712749605871977e-02,4.752384079137916828e-03
3.337901036489132611e-01,9.880875849080039686e-03,5.675633489985720814e-02,9.204601936327860834e-02,2.925548247736964314e-02,2.670495033720499123e-02,4.624830124112522256e-03
7.156802076912227584e-02,3.045359207866948914e-02,1.869123345088219423e-02,6.705736510876447731e-02,5.465302464378618552e-02,9.568612921469821231e-03,1.136850043790871290e-02
9.634209827686457395e-02,4.165611576674410621e-02,5.066235529156237760e-02,1.311049898146565695e-03,3.771457467229488714e-02,3.870757882287989560e-02,4.255281282451006675e-03
3.971028801325426905e-02,5.443480149478263641e-03,2.847511967544669176e-02,6.666635859242586726e-02,1.681479953680486972e-02,4.564850079796656246e-02,3.684114446569508594e-02
5.168748518079246956e-02,2.242765506999222502e-02,1.173098086908730409e-02,5.137776538499649881e-02,5.054801720719481750e-03,4.839150687752180602e-02,2.170310559661325911e-03
8.482886371956577243e-02,1.945112497667933482e-03,2.457302049848131276e-02,6.559943532375922537e-02,3.411445369869348099e-02,1.373855436705184729e-02,3.065039495199317621e-02
8.244515448161404692e-04,2.323827833557134959e-02,5.462487254859915708e-02,8.116340202287886108e-02,4.612598314571592084e-02,2.374800329383219832e-02,2.965282344886799315e-02
9.196091794501781713e-02,2.033153009626897934e-02,3.158261170741027968e-03,2.843951115518206230e-02,1.954111631383392833e-02,2.353994332233355635e-02,7.850423514542237413e-03
1.460271055730701928e-01,2.628407604668114850e-02,6.340336152986125740e-03,4.345988342914774982e-02,1.103249382191329175e-02,1.887051489399027560e-02,5.762626830021422286e-02
1.928515664162115950e-01,3.388085956181652314e-02,3.770907234482301362e-02,4.252528248765696794e-02,5.703178786441620574e-02,9.119829629241849034e-03,5.455901291442732948e-02
