ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
9.079528341237109501e+00,1.984898708450640186e+02,3.077404746699899079e+02,3.078954264992983667e+02,3.078646949368351216e+02,3.079983571765848183e+02,3.077770695420586549e+02,3.071140160696525641e+02
9.080037364964171687e+00,1.984725604620647914e+02,3.077648404556322248e+02,3.078654775459143593e+02,3.078588995765327923e+02,3.079771206351662158e+02,3.077784625027730954e+02,3.070883652077156398e+02
9.080209622408107251e+00,1.984648249703436989e+02,3.077812370993181048e+02,3.079231903461444517e+02,3.078102639687376154e+02,3.079933223716404882e+02,3.077646008449316923e+02,3.070987721799340306e+02
9.080655465204175769e+00,1.984056423193981971e+02,3.077853986961125088e+02,3.079028508547366414e+02,3.078303346431654290e+02,3.080015645029025109e+02,3.077539250557333048e+02,3.070891388760970813e+02
9.079162368674561279e+00,1.983935854904157452e+02,3.078007337809483488e+02,3.078831819156625329e+02,3.078160205860162932e+02,3.079785636637882931e+02,3.077753785580848103e+02,3.070861258609444917e+02
9.080169091244828294e+00,1.984136746422856561e+02,3.077452692681872009e+02,3.078939006202102746e+02,3.078097221624519761e+02,3.080099163067241079e+02,3.077783140871899263e+02,3.071170463701541848e+02
9.080658445436769810e+00,1.983645526605311034e+02,3.077423230102447178e+02,3.078961763258190558e+02,3.077797976469752257e+02,3.080029860738499110e+02,3.077734038559680130e+02,3.070911231149581795e+02
9.081174621722057694e+00,1.983488998829006960e+02,3.077698985063908594e+02,3.078688773952576412e+02,3.078362873597487805e+02,3.080074880132064550e+02,3.077633926586380539e+02,3.070549395149873817e+02
9.081805238938956748e+00,1.983345303934252684e+02,3.077336451689774321e+02,3.079066196568750797e+02,3.078115889801488834e+02,3.080126527562919136e+02,3.077795985674379722e+02,3.070204778934094634e+02
9.081343302886880409e+00,1.983177266499670282e+02,3.077433988742111524e+02,3.078892866241081379e+02,3.078024384739921970e+02,3.080005369187041424e+02,3.077786127064958350e+02,3.070727714386906086e+02
9.081575164982696791e+00,1.983706865752561725e+02,3.077288630877570199e+02,3.079162833590845025e+02,3.077996740102379363e+02,3.079882702813470701e+02,3.077788094018470701e+02,3.070447185092829159e+02
