ch1,ch2,ch3,ch4,ch5,ch6,ch7
6.751447230749991757e-01,4.325107255590827232e-02,3.961630637840108521e-02,4.132994011997462996e-02,3.482804117537036115e-02,9.256751448720866582e-03,2.877094194542669653e-02
6.742876826867678641e-01,3.388531910006035291e-02,3.479250190168641649e-02,3.012672425827077338e-02,2.915494491516887332e-02,1.587689112149371154e-02,2.945840709905708787e-02
6.756378025576832425e-01,2.416432191900276180e-02,1.860395295667087445e-02,2.560206062818295991e-02,1.724034753326744371e-02,1.382991836427669048e-02,2.745434969119425750e-02
6.747179537675325189e-01,1.917369892283665028e-02,1.949630910114158802e-02,1.460284168754120981e-02,1.553371733828989680e-02,4.081801066613324584e-03,2.245523303213513289e-02
6.743566005655050599e-01,1.400046217447068440e-02,1.732111183656595554e-02,1.237675695142232898e-02,1.071609684420786468e-02,3.718063678510627641e-03,6.018877746925085752e-03
6.745929330102125032e-01,1.251824349382442240e-02,1.013197125577583978e-02,1.605197978639361436e-02,9.519533457700426332e-03,2.763569684454164795e-03,7.757247419029167368e-03
6.751456171447773880e-01,7.729233232645182049e-03,9.964556689805588799e-03,8.726046529537024796e-03,6.664694150053757267e-03,8.876175746461838559e-03,1.590989719747271450e-02
6.744054018742324796e-01,1.143388586448262564e-02,9.664968808289623944e-03,6.260872633561210231e-03,4.750416249086409845e-03,2.273470434364131994e-03,7.383004711032475388e-03
6.738039164309401752e-01,1.419186761282296289e-02,5.552620357587380144e-03,5.970448967271920274e-03,8.584187458060677997e-03,1.805201388025449213e-03,3.175735852210027216e-03
6.747327804246878724e-01,9.686500988781569441e-03,1.004539549891894992e-02,9.817333199659968382e-03,6.444603972983834264e-03,5.975664374311491847e-03,4.995912909020532380e-03
6.741535722200360237e-01,5.639941172592779356e-03,4.210770632120446229e-03,8.752198070549733686e-03,5.354807419157912862e-03,1.083970199104571271e-02,2.058103925955763469e-02
6.739155261415870068e-01,9.659529883805501038e-03,1.212224508789123099e-02,7.441417269875677878e-03,4.951805466628726206e-03,2.470538314645089484e-03,6.254912168373127565e-03
6.732134578482458220e-01,8.421541264240892458e-03,6.719306912339557611e-03,3.964975948926919604e-03,5.749017685534677999e-03,3.388896988498805996e-03,2.136752264112504011e-03
6.744099467289383920e-01,8.940548770493123715e-03,4.844144564168997857e-03,1.188442252688676377e-02,6.750524848762136897e-03,1.032218460109050190e-02,6.846190315030850626e-03
6.731717345919292494e-01,2.057031042221908659e-03,2.513006629110172731e-03,8.024499776899788467e-03,2.405941773169252128e-03,5.690232597617219529e-03,7.709414685894809202e-03
6.736272631439284009e-01,9.174049994236229896e-03,9.158403773117515176e-03,5.765408964801902944e-03,4.325733104435575647e-03,3.062188990377067224e-05,9.731726018396140085e-03
6.728176829597571906e-01,9.105355632943585437e-03,9.591506074846514046e-03,5.173981806514478705e-03,1.077704260075600107e-02,5.025491717516388304e-03,3.021657827098110562e-03
6.735716073002346871e-01,9.519235434441022242e-03,4.901067006715179031e-03,1.084178815386153960e-02,6.555841154556412559e-03,7.344187181495091810e-03,8.600578737327901208e-03
6.717841382961438068e-01,2.501458227808264247e-03,4.656836945633523878e-03,4.567057438738040057e-03,2.851412040163522031e-03,4.862771017881753477e-03,1.006044567351885646e-02
6.721546557133979416e-01,8.311123646631675410e-03,7.045195346497935135e-03,2.534687821231821139e-03,3.951192373179479578e-03,2.772137853162032813e-03,2.959221954252952858e-03
6.712425555279917244e-01,9.063036330108204669e-03,8.419082572350808716e-03,3.416464139993684312e-03,6.694347464364465081e-03,1.986325023928287459e-03,1.539960687155805504e-03
6.721295472537931470e-01,8.831248740106670270e-03,5.353242797046041390e-03,1.242809145785468347e-02,6.627739265887650118e-03,1.270413550187772349e-02,1.004129767910214369e-02
6.708237583427141271e-01,5.094782125327840944e-03,8.467660363633675372e-03,6.139279143724339811e-03,2.352595609735919167e-03,7.287413750578611814e-03,1.312688149534243197e-02
6.715042944555633664e-01,8.166731377450392113e-03,6.121546759789795594e-03,4.277974877116069372e-03,5.013496281325373685e-03,7.516891660319764083e-04,3.675893387304948051e-03
6.711006219507005266e-01,8.999184846780878405e-03,9.583086917768350241e-03,3.478825507023991428e-03,8.034707073534378546e-03,3.382563994236468651e-03,3.787130568877526238e-04
