ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.530025902989614162e-02,7.917005767465324917e-01,1.203230166820307590e+00,1.205169702192509407e+00,1.203135991470335897e+00,1.203147912400712061e+00,1.205396199869656515e+00,1.203057313329853217e+00
3.515601577234456210e-02,7.908303488290725491e-01,1.203093672167500516e+00,1.205074334749500098e+00,1.203134799377298281e+00,1.203080559144086736e+00,1.205172682425103448e+00,1.202949428909948937e+00
3.498077809581495723e-02,7.915545453494244876e-01,1.203074002632379846e+00,1.204813862420780923e+00,1.200399541902487544e+00,1.201052808887101309e+00,1.205225730565277376e+00,1.203195000075697907e+00
3.503621042206411795e-02,7.909751881331429368e-01,1.203089499841868859e+00,1.201332950750941153e+00,1.203145528214636828e+00,1.202664518673958627e+00,1.205177450797253913e+00,1.203092480074462900e+00
3.549337810198999882e-02,7.914252032548431126e-01,1.203110957516545954e+00,1.205400968241806980e+00,1.201660776336285652e+00,1.203062677748522491e+00,1.204946780794475147e+00,1.203115129842177611e+00
3.547311252035052070e-02,7.910270441802792485e-01,1.203180098912727702e+00,1.205020094516288554e+00,1.202977443096332921e+00,1.203028703096950425e+00,1.205202484751043857e+00,1.203094268214019325e+00
3.528714600648236166e-02,7.912904967415924640e-01,1.198043966060157617e+00,1.204344773810478886e+00,1.202943468444760855e+00,1.203108573330470721e+00,1.205102348935884082e+00,1.203099632632688598e+00
3.528595391344474530e-02,7.912815560438103413e-01,1.202014231921938903e+00,1.204090261946947793e+00,1.202334904949057703e+00,1.202993536352340742e+00,1.204724455442959696e+00,1.203027511003912808e+00
3.541946833365778452e-02,7.909233320860066252e-01,1.202821874954923986e+00,1.204918170561572355e+00,1.202818894722329945e+00,1.203144336121599212e+00,1.205160165448208476e+00,1.203056121236815601e+00
3.542304461277063360e-02,7.914609660459716034e-01,1.192305230177072239e+00,1.204873467072661741e+00,1.200184369109197791e+00,1.202891612397624543e+00,1.205231691030465457e+00,1.203006649375754522e+00
3.543973391529726263e-02,7.908911455739909835e-01,1.202945852630836088e+00,1.201791310523904643e+00,1.203088903795350051e+00,1.191086911092628320e+00,1.202312255181342993e+00,1.203152084726343718e+00
3.548503345072668430e-02,7.913948048823838954e-01,1.203070426353266997e+00,1.205017114283694513e+00,1.203134203330779473e+00,1.193666004379511314e+00,1.205029035214070676e+00,1.203153276819381334e+00
3.548086112509502704e-02,7.907480944094770203e-01,1.203101420772245023e+00,1.204887772189113138e+00,1.203028703096950425e+00,1.193430566004582083e+00,1.205204272890600281e+00,1.203045392399477054e+00
3.547370856686932888e-02,7.914526213947082889e-01,1.202858829839090093e+00,1.205088043819432686e+00,1.203004861236198098e+00,1.186759613366080934e+00,1.205145264285238271e+00,1.203031683329544466e+00
3.555179066083320044e-02,7.907135237113861459e-01,1.203085327516237202e+00,1.205000424981167884e+00,1.201713824476459580e+00,1.194451593691300495e+00,1.205060625679567510e+00,1.194101714384760093e+00
3.545940345041793257e-02,7.915467967446799813e-01,1.202967310305513182e+00,1.204323912182320599e+00,1.203124070539959733e+00,1.193283938560955271e+00,1.205130959168786875e+00,1.203045988445995862e+00
