ch1,ch2,ch3,ch4,ch5,ch6,ch7
3.043615327210505428e-02,3.015859904063182551e-02,-3.164626948000390239e-03,9.180908754411146178e-02,1.002570496701562092e-01,1.647336508265732080e-01,1.123632741992723338e-01
-2.309676860226643480e-04,4.650507398611255366e-02,5.782544207466386310e-02,1.616084299636178639e-02,4.106915986249044109e-02,-6.936670412527578752e-03,2.972323051923670464e-03
1.832256227046033525e-02,-3.741633589268409960e-03,-3.188594564511217783e-02,-3.175645144983124668e-02,-7.159460352023788027e-03,-1.753411198147363827e-03,2.912890327287798869e-03
-4.178871377285616612e-03,1.082497346078209639e-02,5.626553787071905677e-02,3.043284290674482320e-02,-7.690392490070696585e-03,-1.031322303466544743e-03,9.771151555097341845e-03
1.150677845996606052e-02,-4.180136214001458142e-03,-1.157526901897040078e-02,2.376554213282198666e-02,9.548305299086195033e-03,3.378417906800549458e-02,1.491636714847180759e-02
-3.451872796548004566e-03,3.665423853876971505e-02,6.269356863548066622e-03,2.835467174721635966e-02,3.230541158202372004e-02,-1.165661816499137353e-02,-1.457804175906283507e-02
-1.150103345789271758e-03,1.635095883785656025e-03,2.268338072912112410e-02,-3.929585814418241896e-02,-5.242606959137265620e-03,-1.249384285042324898e-02,5.975135660578959063e-04
-4.668766232135968842e-03,-8.900544128590806223e-03,-4.517288991749415783e-02,1.070942230952700268e-02,-2.437904144898398948e-02,3.729452391572286168e-02,1.787689115954898319e-03
-9.411564497159090673e-03,1.387834455708054221e-02,-1.764494808928441377e-02,2.463825006939416792e-02,-2.610166587954227541e-03,1.686404239960801257e-02,-1.463413494531076676e-03
3.111969410879528337e-03,-9.216659925637110673e-03,-1.477199893231323675e-02,-2.375322846282027986e-02,3.035026712966824511e-02,-6.235643385059781718e-03,-2.038051957272756648e-02
-3.075536839183795612e-03,-7.222600711927963657e-03,-2.330790093773466541e-03,-3.021986426170085102e-02,-3.966428046872916280e-03,-2.507332743093178967e-02,-1.955831720655401562e-02
1.205099479119622896e-02,-4.045753134931093925e-02,-8.136176292656852049e-03,1.107857473311474675e-02,-4.265500762443516503e-02,1.187471812774931572e-02,2.292785807228603367e-02
-9.075607115831545169e-03,1.934405437237622649e-02,-2.895463707112331045e-02,1.209899188598335951e-02,1.334340738453581102e-02,1.664822967883194255e-02,-1.552232770281237670e-02
1.162179686911321910e-02,1.010116086468504371e-03,1.459547813895046252e-02,-1.495605590058089220e-02,1.853238429433564510e-02,-6.043558015005751072e-02,-2.204922240851806339e-02
-9.683658915770824993e-03,-1.928106075233276123e-02,-3.546344757491864258e-02,-2.790784492669701189e-02,-2.651428734790555256e-02,1.419347221000163625e-02,-4.705267870496147344e-03
1.761546352781910227e-02,1.950515684947225128e-03,3.304228367420858695e-03,4.329118612220204942e-03,-1.792916712718872763e-02,7.523932259631412392e-03,2.335215385414187578e-02
-9.934315458169940341e-03,-1.996529792384856006e-02,-4.087229177838110766e-02,2.869115346055815460e-02,5.288429061664167569e-03,3.802042961715618868e-02,6.275822107901170115e-03
1.246776163552784471e-02,5.166912850754873734e-03,5.411830219007014026e-02,-5.339804303889779738e-03,3.318299384732711216e-02,-4.969302350265133311e-02,-2.889016867160709018e-02
-1.139329654658085417e-02,-1.556673066745671054e-02,-2.256502809742123514e-02,-4.484141600686153244e-03,-2.813215007060375014e-02,7.683625277366998643e-03,1.883105993114361776e-02
4.087871876016675732e-04,8.166003701517170546e-03,2.154524368506041676e-02,2.813100374547903432e-02,-2.251109185286016140e-02,1.587888552041823859e-02,6.143853308321721787e-03
-5.252124498608434430e-03,6.083283282960907402e-03,4.683369219942433784e-03,4.150702633523371821e-02,3.239194426163809204e-02,2.738782544643499073e-02,3.705208157824705500e-02
-3.489614530804066323e-03,2.127779589378692160e-02,2.324995100883236326e-02,-1.236289788578985756e-02,2.973732743548972851e-02,-2.041546503480802521e-02,-3.438110496276446104e-02
1.844347633021018937e-03,2.702046132549193458e-02,7.993147243335921651e-03,1.195500757865411087e-02,1.763612668569137024e-02,1.211765480906245099e-02,2.255119187520175650e-02
-6.824202068534727071e-03,-2.258557206643246190e-02,-7.004567002726453349e-03,9.188617896471792251e-03,-1.962242032584221585e-02,3.247668759463188948e-03,2.105211199394695781e-02
1.202178324522911942e-02,4.403796132211659775e-04,-7.459161775837864182e-03,3.941331593928715238e-02,1.601380575415298213e-03,1.359366873841245243e-02,2.496005151217864718e-02
-1.688531234141003520e-02,-8.589991556410762896e-03,1.188640154248126780e-02,-4.132865096559530660e-02,3.416885494484150909e-02,-2.856112101355458288e-02,-1.832993451220235950e-02
3.511835853202929791e-03,2.342152345638619237e-02,5.894233526266062437e-03,4.308730930612559434e-03,-1.111580793025977558e-02,1.134674521352082178e-03,-2.166827366392336945e-02
